Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2072119,My Dog Is a Carrot,John Hegley,"Hegley, John",,"=""074458633X""","=""9780744586336""",3,4.18,Walker Books Ltd ,Paperback,64,2002,2002,2025/05/25,2025/05/24,,,read,,,,1,0
2288669,The Curate in Charge,Mrs. Oliphant,"Oliphant, Mrs.",Mrs. Oliphant,"=""086299327X""","=""9780862993276""",0,3.84,Sutton Pub Ltd,Paperback,192,1987,1987,,2025/05/24,"to-read, physical-tbr","to-read (#221), physical-tbr (#13)",to-read,,,,0,0
55479353,My First Thirty Years,Gertrude Beasley,"Beasley, Gertrude","Nina M. M. Bennett, Marie Bennett","=""1728242886""","=""9781728242880""",0,3.68,Sourcebooks,Paperback,352,2021,1925,,2025/05/24,"to-read, physical-tbr","to-read (#220), physical-tbr (#12)",to-read,,,,0,0
17165596,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",0,4.36,Riverhead Books,Paperback,371,2013,2003,,2025/05/24,"to-read, physical-tbr","to-read (#219), physical-tbr (#11)",to-read,,,,0,0
32929156,Wuthering Heights,Emily Brontë,"Brontë, Emily","Pauline Nestor, Lucasta Miller","=""0141439556""","=""9780141439556""",0,3.90,Penguin Classics,Paperback,359,2016,1847,,2025/05/24,"to-read, physical-tbr","to-read (#218), physical-tbr (#10)",to-read,,,,0,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.39,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2025/04/15,"to-read, physical-tbr","to-read (#126), physical-tbr (#9)",to-read,,,,0,0
9838,The Bookseller of Kabul,Åsne Seierstad,"Seierstad, Åsne",Ingrid Christophersen,"=""0316159417""","=""9780316159418""",0,3.77,"Little, Brown and Company",Paperback,288,2004,2002,,2025/05/24,"to-read, physical-tbr","to-read (#217), physical-tbr (#8)",to-read,,,,0,0
26026054,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Mark Wolynn,"Wolynn, Mark",,"=""1101980362""","=""9781101980361""",0,3.55,Penguin Life,Hardcover,256,2016,2016,,2025/05/24,to-read,to-read (#216),to-read,,,,0,0
108380,Mind Over Mood: Change How You Feel By Changing the Way You Think,Dennis Greenberger,"Greenberger, Dennis",Christine A. Padesky,"=""0898621283""","=""9780898621280""",0,3.96,The Guilford Press,Paperback,243,1995,1995,,2025/05/24,to-read,to-read (#215),to-read,,,,0,0
10127008,Self-Compassion: The Proven Power of Being Kind to Yourself,Kristin Neff,"Neff, Kristin",,"=""0061733512""","=""9780061733512""",0,4.13,William Morrow,Hardcover,320,2011,2011,,2025/05/24,to-read,to-read (#214),to-read,,,,0,0
40121993,The Collected Schizophrenias: Essays,Esmé Weijun Wang,"Wang, Esmé Weijun",,"=""1555978274""","=""9781555978273""",0,4.13,Graywolf Press,Paperback,224,2019,2019,,2025/05/21,to-read,to-read (#213),to-read,,,,0,0
57145833,My Body,Emily Ratajkowski,"Ratajkowski, Emily",,"=""1250817862""","=""9781250817860""",0,3.98,Metropolitan Books,Hardcover,239,2021,2021,,2025/05/21,to-read,to-read (#212),to-read,,,,0,0
30962053,The Idiot,Elif Batuman,"Batuman, Elif",,"=""1594205612""","=""9781594205613""",0,3.64,Penguin Press,Hardcover,423,2017,2017,,2025/05/21,to-read,to-read (#211),to-read,,,,0,0
6798263,Bluets,Maggie Nelson,"Nelson, Maggie",,"=""1933517409""","=""9781933517407""",0,4.05,Wave Books,Paperback,112,2009,2009,,2025/05/21,to-read,to-read (#210),to-read,,,,0,0
36336078,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,"Aciman, André",,"=""1786495252""","=""9781786495259""",0,4.10,Atlantic Books,Paperback,248,2017,2007,,2025/05/21,to-read,to-read (#209),to-read,,,,0,0
52892857,The Color Purple,Alice Walker,"Walker, Alice",,"=""0143135694""","=""9780143135692""",0,4.28,Penguin Books,Paperback,287,2019,1982,,2025/05/21,to-read,to-read (#208),to-read,,,,0,0
11996,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline",Ros Schwartz,"=""0380731819""","=""9780380731817""",0,4.12,Avon Eos,Mass Market Paperback,208,1998,1995,,2025/05/21,to-read,to-read (#207),to-read,,,,0,0
40277241,Brief Answers to the Big Questions,Stephen Hawking,"Hawking, Stephen",,"=""1984819194""","=""9781984819192""",0,4.26,Bantam,Hardcover,256,2018,2018,,2025/05/21,to-read,to-read (#206),to-read,,,,0,0
7247854,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean,"Kean, Sam",,"=""0316051640""","=""9780316051644""",0,3.92,"Little, Brown and Company",Hardcover,394,2010,2010,,2025/05/21,to-read,to-read (#205),to-read,,,,0,0
17910054,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"Kolbert, Elizabeth",,"=""0805092994""","=""9780805092998""",0,4.15,Henry Holt and Co. (Georg von Holtzbrinck),Hardcover,336,2014,2014,,2025/05/21,to-read,to-read (#204),to-read,,,,0,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.37,Scribner,Hardcover,368,2017,2017,,2025/05/21,to-read,to-read (#203),to-read,,,,0,0
55030,Cosmos,Carl Sagan,"Sagan, Carl",,"=""0375508325""","=""9780375508325""",0,4.40,Random House,Mass Market Paperback,384,2002,1980,,2025/05/21,to-read,to-read (#202),to-read,,,,0,0
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,"=""0199291152""","=""9780199291151""",0,4.16,Oxford University Press,Paperback,360,2006,1976,,2025/05/21,to-read,to-read (#201),to-read,,,,0,0
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""0670785938""","=""9780670785933""",0,4.35,Viking,Hardcover,464,2014,2014,,2025/05/21,to-read,to-read (#200),to-read,,,,0,0
63697,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,"Sacks, Oliver",,"=""""","=""""",0,4.05,Touchstone,Paperback,243,1998,1985,,2025/05/21,to-read,to-read (#199),to-read,,,,0,0
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",0,4.13,Random House,Hardcover,375,2012,2012,,2025/05/21,to-read,to-read (#198),to-read,,,,0,0
6516450,What the Dog Saw and Other Adventures,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316078573""","=""9780316078573""",0,3.85,"Little, Brown and Company",Hardcover,444,2009,2009,,2025/05/21,to-read,to-read (#197),to-read,,,,0,0
15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316204366""","=""9780316204361""",0,3.97,"Little, Brown and Company",Hardcover,305,2013,2013,,2025/05/21,to-read,to-read (#196),to-read,,,,0,0
43848929,Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",0,4.00,"Little, Brown and Company",Hardcover,388,2019,2019,,2025/05/21,to-read,to-read (#195),to-read,,,,0,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""""","=""""",0,4.01,Time Warner Book Group,Paperback,301,2002,2000,,2025/05/21,to-read,to-read (#194),to-read,,,,0,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",0,4.22,Crown,Paperback,544,2004,2003,,2025/05/21,to-read,to-read (#193),to-read,,,,0,0
42270835,The Nickel Boys,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",0,4.25,Doubleday,ebook,213,2019,2019,,2025/05/18,to-read,to-read (#192),to-read,,,,0,0
27071490,Homegoing,Yaa Gyasi,"Gyasi, Yaa",,"=""""","=""""",0,4.47,Alfred A. Knopf,Hardcover,305,2016,2016,,2025/05/18,to-read,to-read (#191),to-read,,,,0,0
